127.0.0.1 - - [28/May/2024:11:20:32 +0500] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [28/May/2024:11:20:41 +0500] "GET /Inventory/index.html HTTP/1.1" 200 358
0:0:0:0:0:0:0:1 - - [28/May/2024:11:20:42 +0500] "GET /Inventory/index.css HTTP/1.1" 200 671
0:0:0:0:0:0:0:1 - - [28/May/2024:11:22:42 +0500] "GET /Inventory/SignUp.html HTTP/1.1" 200 1521
0:0:0:0:0:0:0:1 - - [28/May/2024:11:22:42 +0500] "GET /Inventory/SignUp.css HTTP/1.1" 200 1003
0:0:0:0:0:0:0:1 - - [28/May/2024:11:24:03 +0500] "GET /Inventory/SignIn.html HTTP/1.1" 200 970
0:0:0:0:0:0:0:1 - - [28/May/2024:11:24:03 +0500] "GET /Inventory/SignIn.css HTTP/1.1" 200 1003
0:0:0:0:0:0:0:1 - - [28/May/2024:11:24:34 +0500] "GET /Inventory/SignUp.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2024:11:24:34 +0500] "GET /Inventory/SignUp.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2024:11:26:18 +0500] "GET /Inventory/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2024:11:26:18 +0500] "GET /Inventory/index.css HTTP/1.1" 200 1407
0:0:0:0:0:0:0:1 - - [28/May/2024:11:27:15 +0500] "GET /Inventory/SignUp.html HTTP/1.1" 200 1521
0:0:0:0:0:0:0:1 - - [28/May/2024:11:27:15 +0500] "GET /Inventory/SignUp.css HTTP/1.1" 200 1793
0:0:0:0:0:0:0:1 - - [28/May/2024:11:27:30 +0500] "GET /Inventory/SignUp.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2024:11:27:30 +0500] "GET /Inventory/SignUp.css HTTP/1.1" 200 1003
0:0:0:0:0:0:0:1 - - [28/May/2024:11:27:39 +0500] "GET /Inventory/SignIn.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2024:11:27:39 +0500] "GET /Inventory/SignIn.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2024:11:27:49 +0500] "POST /Inventory/SignIn HTTP/1.1" 200 88
0:0:0:0:0:0:0:1 - - [28/May/2024:11:27:57 +0500] "POST /Inventory/SignIn HTTP/1.1" 200 96
0:0:0:0:0:0:0:1 - - [28/May/2024:11:28:11 +0500] "GET /Inventory/SignUp.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2024:11:28:12 +0500] "GET /Inventory/SignUp.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2024:11:29:13 +0500] "GET /Inventory/SignUp.html HTTP/1.1" 200 1546
0:0:0:0:0:0:0:1 - - [28/May/2024:11:29:13 +0500] "GET /Inventory/SignUp.css HTTP/1.1" 200 1139
0:0:0:0:0:0:0:1 - - [28/May/2024:11:29:48 +0500] "GET /Inventory/SignUp.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2024:11:29:48 +0500] "GET /Inventory/SignUp.css HTTP/1.1" 200 1156
0:0:0:0:0:0:0:1 - - [28/May/2024:11:30:01 +0500] "GET /Inventory/SignUp.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2024:11:30:01 +0500] "GET /Inventory/SignUp.css HTTP/1.1" 200 1175
0:0:0:0:0:0:0:1 - - [28/May/2024:11:30:16 +0500] "GET /Inventory/SignUp.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2024:11:30:16 +0500] "GET /Inventory/SignUp.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2024:11:30:22 +0500] "GET /Inventory/SignUp.html HTTP/1.1" 304 -
